name,version,license_expression,license_file_metadata,license_files_found,authors,repository,source
fallible-iterator,0.3.0,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/rust-fallible-iterator,registry+https://github.com/rust-lang/crates.io-index
fallible-streaming-iterator,0.1.9,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/fallible-streaming-iterator,registry+https://github.com/rust-lang/crates.io-index
fastembed,7.0.1,Apache-2.0,,LICENSE,Anush008 <mail@anush.sh>; Josh Niemelä <josh@jniemela.dk>; GrisiaEvy <a115020115@gmail.com>; George MacKerron <georgemackerron@neon.tech>; Timon Vonk <mail@timonv.nl>; Luya Wang <luya.wang@qq.com>; Tri <tri@triandco.com>; Denny Wong <denwong47@hotmail.com>; Alex Rozgo <alex.rozgo@gmail.com>,https://github.com/Anush008/fastembed-rs,registry+https://github.com/rust-lang/crates.io-index
fastrand,2.5.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/fastrand,registry+https://github.com/rust-lang/crates.io-index
fdeflate,0.3.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The image-rs Developers,https://github.com/image-rs/fdeflate,registry+https://github.com/rust-lang/crates.io-index
field-offset,0.3.6,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Diggory Blake <diggsey@googlemail.com>,https://github.com/Diggsey/rust-field-offset,registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools,0.1.13,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/cc-rs,registry+https://github.com/rust-lang/crates.io-index
flate2,1.1.10,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>; Josh Triplett <josh@joshtriplett.org>,https://github.com/rust-lang/flate2-rs,registry+https://github.com/rust-lang/crates.io-index
fnv,1.0.7,Apache-2.0 / MIT,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>,https://github.com/servo/rust-fnv,registry+https://github.com/rust-lang/crates.io-index
foldhash,0.1.5,Zlib,,LICENSE,Orson Peters <orsonpeters@gmail.com>,https://github.com/orlp/foldhash,registry+https://github.com/rust-lang/crates.io-index
foldhash,0.2.0,Zlib,,LICENSE,Orson Peters <orsonpeters@gmail.com>,https://github.com/orlp/foldhash,registry+https://github.com/rust-lang/crates.io-index
foreign-types,0.3.2,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/foreign-types,registry+https://github.com/rust-lang/crates.io-index
foreign-types,0.5.0,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/foreign-types,registry+https://github.com/rust-lang/crates.io-index
foreign-types-macros,0.2.4,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/foreign-types,registry+https://github.com/rust-lang/crates.io-index
foreign-types-shared,0.1.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/foreign-types,registry+https://github.com/rust-lang/crates.io-index
foreign-types-shared,0.3.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/foreign-types,registry+https://github.com/rust-lang/crates.io-index
form_urlencoded,1.2.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The rust-url developers,https://github.com/servo/rust-url,registry+https://github.com/rust-lang/crates.io-index
futures-channel,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-core,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-executor,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-io,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-lite,2.6.1,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT;LICENSE-THIRD-PARTY,Stjepan Glavina <stjepang@gmail.com>; Contributors to futures-rs,https://github.com/smol-rs/futures-lite,registry+https://github.com/rust-lang/crates.io-index
futures-macro,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-sink,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-task,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
futures-util,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/futures-rs,registry+https://github.com/rust-lang/crates.io-index
gdk,0.18.2,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gdk-pixbuf,0.18.5,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
gdk-pixbuf-sys,0.18.0,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
gdk-sys,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gdkwayland-sys,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gdkx11,0.18.2,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gdkx11-sys,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
generic-array,0.14.7,MIT,,LICENSE,Bartłomiej Kamiński <fizyk20@gmail.com>; Aaron Trent <novacrazy@gmail.com>,https://github.com/fizyk20/generic-array.git,registry+https://github.com/rust-lang/crates.io-index
getrandom,0.2.17,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers,https://github.com/rust-random/getrandom,registry+https://github.com/rust-lang/crates.io-index
getrandom,0.3.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers,https://github.com/rust-random/getrandom,registry+https://github.com/rust-lang/crates.io-index
getrandom,0.4.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers,https://github.com/rust-random/getrandom,registry+https://github.com/rust-lang/crates.io-index
gio,0.18.4,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
gio-sys,0.18.1,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
glib,0.18.5,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
glib-macros,0.18.5,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
glib-sys,0.18.1,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
glob,0.3.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-lang/glob,registry+https://github.com/rust-lang/crates.io-index
gobject-sys,0.18.0,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
gtk,0.18.2,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gtk-sys,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
gtk3-macros,0.18.2,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
h2,0.4.19,MIT,,LICENSE,Carl Lerche <me@carllerche.com>; Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/h2,registry+https://github.com/rust-lang/crates.io-index
hashbrown,0.12.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/rust-lang/hashbrown,registry+https://github.com/rust-lang/crates.io-index
hashbrown,0.15.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/rust-lang/hashbrown,registry+https://github.com/rust-lang/crates.io-index
hashbrown,0.16.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/rust-lang/hashbrown,registry+https://github.com/rust-lang/crates.io-index
hashbrown,0.17.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/hashbrown,registry+https://github.com/rust-lang/crates.io-index
hashlink,0.10.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,kyren <kerriganw@gmail.com>,https://github.com/kyren/hashlink,registry+https://github.com/rust-lang/crates.io-index
heck,0.4.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Without Boats <woboats@gmail.com>,https://github.com/withoutboats/heck,registry+https://github.com/rust-lang/crates.io-index
heck,0.5.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/withoutboats/heck,registry+https://github.com/rust-lang/crates.io-index
hermit-abi,0.5.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/hermit-os/hermit-rs,registry+https://github.com/rust-lang/crates.io-index
hex,0.4.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,KokaKiwi <kokakiwi@kokakiwi.net>,https://github.com/KokaKiwi/rust-hex,registry+https://github.com/rust-lang/crates.io-index
hf-hub,0.5.0,Apache-2.0,,LICENSE,,https://github.com/huggingface/hf-hub,registry+https://github.com/rust-lang/crates.io-index
html5ever,0.38.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The html5ever Project Developers,https://github.com/servo/html5ever,registry+https://github.com/rust-lang/crates.io-index
http,1.5.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>; Carl Lerche <me@carllerche.com>; Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/http,registry+https://github.com/rust-lang/crates.io-index
http-body,1.1.0,MIT,,LICENSE,Carl Lerche <me@carllerche.com>; Lucio Franco <luciofranco14@gmail.com>; Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/http-body,registry+https://github.com/rust-lang/crates.io-index
http-body-util,0.1.5,MIT,,LICENSE,Carl Lerche <me@carllerche.com>; Lucio Franco <luciofranco14@gmail.com>; Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/http-body,registry+https://github.com/rust-lang/crates.io-index
httparse,1.10.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sean McArthur <sean@seanmonstar.com>,https://github.com/seanmonstar/httparse,registry+https://github.com/rust-lang/crates.io-index
hyper,1.11.1,MIT,,LICENSE,Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/hyper,registry+https://github.com/rust-lang/crates.io-index
hyper-rustls,0.27.10,Apache-2.0 OR ISC OR MIT,,LICENSE-APACHE;LICENSE-ISC;LICENSE-MIT,,https://github.com/rustls/hyper-rustls,registry+https://github.com/rust-lang/crates.io-index
hyper-tls,0.6.0,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/hyper-tls,registry+https://github.com/rust-lang/crates.io-index
hyper-util,0.1.20,MIT,,LICENSE,Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/hyper-util,registry+https://github.com/rust-lang/crates.io-index
iana-time-zone,0.1.65,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Andrew Straw <strawman@astraw.com>; René Kijewski <rene.kijewski@fu-berlin.de>; Ryan Lopopolo <rjl@hyperbo.la>,https://github.com/strawlab/iana-time-zone,registry+https://github.com/rust-lang/crates.io-index
iana-time-zone-haiku,0.1.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,René Kijewski <crates.io@k6i.de>,https://github.com/strawlab/iana-time-zone,registry+https://github.com/rust-lang/crates.io-index
ico,0.5.0,MIT,,LICENSE,Matthew D. Steele <mdsteele@alum.mit.edu>,https://github.com/mdsteele/rust-ico,registry+https://github.com/rust-lang/crates.io-index
icu_collections,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_locale_core,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_normalizer,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_normalizer_data,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_properties,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_properties_data,2.3.0,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
icu_provider,2.3.1,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
ident_case,1.0.1,MIT/Apache-2.0,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/ident_case,registry+https://github.com/rust-lang/crates.io-index
idna,1.1.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The rust-url developers,https://github.com/servo/rust-url/,registry+https://github.com/rust-lang/crates.io-index
idna_adapter,1.2.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,The rust-url developers,https://github.com/hsivonen/idna_adapter,registry+https://github.com/rust-lang/crates.io-index
indexmap,1.9.3,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/bluss/indexmap,registry+https://github.com/rust-lang/crates.io-index
indexmap,2.14.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/indexmap-rs/indexmap,registry+https://github.com/rust-lang/crates.io-index
indicatif,0.18.6,MIT,,LICENSE,,https://github.com/console-rs/indicatif,registry+https://github.com/rust-lang/crates.io-index
infer,0.19.0,MIT,,LICENSE,Bojan <dbojan@gmail.com>,https://github.com/bojand/infer,registry+https://github.com/rust-lang/crates.io-index
ipnet,2.12.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Kris Price <kris@krisprice.nz>,https://github.com/krisprice/ipnet,registry+https://github.com/rust-lang/crates.io-index
is-docker,0.2.0,MIT,,LICENSE,Sean Larkin <TheLarkInn@users.noreply.github.com>,https://github.com/TheLarkInn/is-docker,registry+https://github.com/rust-lang/crates.io-index
is-wsl,0.4.0,MIT,,LICENSE,Sean Larkin <TheLarkInn@users.noreply.github.com>,https://github.com/TheLarkInn/is-wsl,registry+https://github.com/rust-lang/crates.io-index
itertools,0.14.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,bluss,https://github.com/rust-itertools/itertools,registry+https://github.com/rust-lang/crates.io-index
itoa,1.0.18,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/itoa,registry+https://github.com/rust-lang/crates.io-index
javascriptcore-rs,1.1.2,MIT,,LICENSE,,https://github.com/tauri-apps/javascriptcore-rs,registry+https://github.com/rust-lang/crates.io-index
javascriptcore-rs-sys,1.1.1,MIT,,LICENSE,The Gtk-rs Project Developers,https://github.com/tauri-apps/javascriptcore-rs,registry+https://github.com/rust-lang/crates.io-index
jiff,0.2.37,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/jiff,registry+https://github.com/rust-lang/crates.io-index
jiff-core,0.1.1,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/jiff,registry+https://github.com/rust-lang/crates.io-index
jiff-static,0.2.37,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/jiff,registry+https://github.com/rust-lang/crates.io-index
jiff-tzdb,0.1.8,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/jiff,registry+https://github.com/rust-lang/crates.io-index
jiff-tzdb-platform,0.1.3,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/jiff,registry+https://github.com/rust-lang/crates.io-index
jni,0.21.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Josh Chase <josh@prevoty.com>,https://github.com/jni-rs/jni-rs,registry+https://github.com/rust-lang/crates.io-index
jni-sys,0.3.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/jni-rs/jni-sys,registry+https://github.com/rust-lang/crates.io-index
jni-sys,0.4.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>; Robert Bragg <robert@sixbynine.org>,https://github.com/jni-rs/jni-sys,registry+https://github.com/rust-lang/crates.io-index
jni-sys-macros,0.4.1,MIT OR Apache-2.0,,,Robert Bragg <robert@sixbynine.org>,https://github.com/jni-rs/jni-sys,registry+https://github.com/rust-lang/crates.io-index
js-sys,0.3.105,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The wasm-bindgen Developers,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys,registry+https://github.com/rust-lang/crates.io-index
json-patch,3.0.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Ivan Dubrov <dubrov.ivan@gmail.com>,https://github.com/idubrov/json-patch,registry+https://github.com/rust-lang/crates.io-index
jsonptr,0.6.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,chance dinkins; André Sá de Mello <codasm@pm.me>,https://github.com/chanced/jsonptr,registry+https://github.com/rust-lang/crates.io-index
keyboard-types,0.7.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Pyfisch <pyfisch@posteo.org>,https://github.com/pyfisch/keyboard-types,registry+https://github.com/rust-lang/crates.io-index
libappindicator,0.9.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,,registry+https://github.com/rust-lang/crates.io-index
libappindicator-sys,0.9.0,Apache-2.0 OR MIT,,,,,registry+https://github.com/rust-lang/crates.io-index
libc,0.2.189,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/libc,registry+https://github.com/rust-lang/crates.io-index
libdbus-sys,0.2.7,Apache-2.0/MIT,,LICENSE-APACHE;LICENSE-MIT,David Henningsson <diwic@ubuntu.com>,https://github.com/diwic/dbus-rs,registry+https://github.com/rust-lang/crates.io-index
libloading,0.7.4,ISC,,LICENSE,Simonas Kazlauskas <libloading@kazlauskas.me>,https://github.com/nagisa/rust_libloading/,registry+https://github.com/rust-lang/crates.io-index
libloading,0.9.0,ISC,,LICENSE,Simonas Kazlauskas <libloading@kazlauskas.me>,https://github.com/nagisa/rust_libloading/,registry+https://github.com/rust-lang/crates.io-index
libredox,0.1.24,MIT,,LICENSE,4lDO2 <4lDO2@protonmail.com>,https://gitlab.redox-os.org/redox-os/libredox.git,registry+https://github.com/rust-lang/crates.io-index
libsqlite3-sys,0.35.0,MIT,,LICENSE,The rusqlite developers,https://github.com/rusqlite/rusqlite,registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys,0.12.1,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,,COPYRIGHT;LICENSE-APACHE;LICENSE-Apache-2.0_WITH_LLVM-exception;LICENSE-MIT,Dan Gohman <dev@sunfishcode.online>,https://github.com/sunfishcode/linux-raw-sys,registry+https://github.com/rust-lang/crates.io-index
litemap,0.8.3,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
litrs,1.0.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Lukas Kalbertodt <lukas.kalbertodt@gmail.com>,https://github.com/LukasKalbertodt/litrs,registry+https://github.com/rust-lang/crates.io-index
lock_api,0.4.14,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/Amanieu/parking_lot,registry+https://github.com/rust-lang/crates.io-index
log,0.4.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-lang/log,registry+https://github.com/rust-lang/crates.io-index
macro_rules_attribute,0.2.3,Apache-2.0 OR MIT OR Zlib,,LICENSE-APACHE;LICENSE-MIT;LICENSE-ZLIB,Daniel Henry-Mantilla <daniel.henry.mantilla@gmail.com>,https://github.com/danielhenrymantilla/macro_rules_attribute-rs,registry+https://github.com/rust-lang/crates.io-index
macro_rules_attribute-proc_macro,0.2.3,Apache-2.0 OR MIT OR Zlib,,LICENSE-APACHE;LICENSE-MIT;LICENSE-ZLIB,Daniel Henry-Mantilla <daniel.henry.mantilla@gmail.com>,https://github.com/danielhenrymantilla/macro_rules_attribute-rs,registry+https://github.com/rust-lang/crates.io-index
markup5ever,0.38.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The html5ever Project Developers,https://github.com/servo/html5ever,registry+https://github.com/rust-lang/crates.io-index
matrixmultiply,0.3.11,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,bluss; R. Janis Goldschmidt,https://github.com/bluss/matrixmultiply/,registry+https://github.com/rust-lang/crates.io-index
memchr,2.8.3,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>; bluss,https://github.com/BurntSushi/memchr,registry+https://github.com/rust-lang/crates.io-index
memoffset,0.9.1,MIT,,LICENSE,Gilad Naaman <gilad.naaman@gmail.com>,https://github.com/Gilnaa/memoffset,registry+https://github.com/rust-lang/crates.io-index
mime,0.3.17,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sean McArthur <sean@seanmonstar.com>,https://github.com/hyperium/mime,registry+https://github.com/rust-lang/crates.io-index
minimal-lexical,0.2.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT;LICENSE.md,Alex Huszagh <ahuszagh@gmail.com>,https://github.com/Alexhuszagh/minimal-lexical,registry+https://github.com/rust-lang/crates.io-index
miniz_oxide,0.8.9,MIT OR Zlib OR Apache-2.0,,LICENSE;LICENSE-APACHE.md;LICENSE-MIT.md;LICENSE-ZLIB.md,Frommi <daniil.liferenko@gmail.com>; oyvindln <oyvindln@users.noreply.github.com>; Rich Geldreich richgel99@gmail.com,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide,registry+https://github.com/rust-lang/crates.io-index
miniz_oxide,0.9.1,MIT OR Zlib OR Apache-2.0,,LICENSE;LICENSE-APACHE.md;LICENSE-MIT.md;LICENSE-ZLIB.md,Frommi <daniil.liferenko@gmail.com>; oyvindln <oyvindln@users.noreply.github.com>; Rich Geldreich richgel99@gmail.com,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide,registry+https://github.com/rust-lang/crates.io-index
mio,1.2.3,MIT,,LICENSE,Carl Lerche <me@carllerche.com>; Thomas de Zeeuw <thomasdezeeuw@gmail.com>; Tokio Contributors <team@tokio.rs>,https://github.com/tokio-rs/mio,registry+https://github.com/rust-lang/crates.io-index
monostate,0.1.18,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/monostate,registry+https://github.com/rust-lang/crates.io-index
monostate-impl,0.1.18,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/monostate,registry+https://github.com/rust-lang/crates.io-index
muda,0.19.3,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT;LICENSE.spdx,,https://github.com/tauri-apps/muda,registry+https://github.com/rust-lang/crates.io-index
multiversion,0.9.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Caleb Zulawski <caleb.zulawski@gmail.com>,https://github.com/calebzulawski/multiversion,registry+https://github.com/rust-lang/crates.io-index
multiversion-macros,0.9.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Caleb Zulawski <caleb.zulawski@gmail.com>,https://github.com/calebzulawski/multiversion,registry+https://github.com/rust-lang/crates.io-index
multiversion_no_op,1.0.0,Apache-2.0 OR MIT,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT,Henri Sivonen <hsivonen@hsivonen.fi>,https://github.com/hsivonen/multiversion_no_op,registry+https://github.com/rust-lang/crates.io-index
native-tls,0.2.18,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-native-tls/rust-native-tls,registry+https://github.com/rust-lang/crates.io-index
ndarray,0.17.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,"Ulrik Sverdrup ""bluss""; Jim Turner",https://github.com/rust-ndarray/ndarray,registry+https://github.com/rust-lang/crates.io-index
ndk,0.9.0,MIT OR Apache-2.0,,,The Rust Mobile contributors,https://github.com/rust-mobile/ndk,registry+https://github.com/rust-lang/crates.io-index
ndk-sys,0.6.0+11769913,MIT OR Apache-2.0,,,The Rust Windowing contributors,https://github.com/rust-mobile/ndk,registry+https://github.com/rust-lang/crates.io-index
new_debug_unreachable,1.0.6,MIT,,LICENSE-MIT,Matt Brubeck <mbrubeck@limpet.net>; Jonathan Reem <jonathan.reem@gmail.com>,https://github.com/mbrubeck/rust-debug-unreachable,registry+https://github.com/rust-lang/crates.io-index
